Operation Number,Operation Region,Operation Name,Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,"Permit Status
3/1/2021","Operating Status
3/1/2021","Permit Status
3/6/2021","Operating Status
3/6/2021","Permit Status
3/13/2021","Operating Status
3/13/2021","Permit Status
3/20/2021","Operating Status
3/20/2021","Permit Status
3/27/2021","Operating Status
3/27/2021",,
820821,6,Tanya Gast,1756 COUNTY ROAD 218,,WEIMAR,78962,COLORADO,Listed Family Home,0,10/9/02,Full,Y,,,,,,,,,,
820823-4491,6,Garden Villa Head Start,6724 TELEPHONE RD,,HOUSTON,77061,HARRIS,Licensed Center - Child Care Program,179,3/4/03,Full,Y,,,,,,,,,,
820900,7,First Church Preschool,300 N 5TH ST,,TEMPLE,76501,BELL,Licensed Center - Child Care Program,119,1/27/03,Full,Y,,,,,,,,,,
821117,7,St Peters Lutheran School,1803 HWY 1431 W,,MARBLE FALLS,78654,BURNET,Licensed Center - Child Care Program,46,9/24/02,Full,Y,,,,,,,,,,
821141,7,Childrens Therapeutics Developmental Center,3211 HANCOCK DR,,AUSTIN,78731,TRAVIS,Licensed Center - Child Care Program,12,3/13/03,Full,Y,,,,,,,,,,
821163,6,Mai Truc Nguyen,9615 MARIPOSA BEND LN,,HOUSTON,77089,HARRIS,Registered Child-Care Home,12,10/21/02,Full,Y,,,,,,,,,,
821184,11,Del Mar College-Morris L Lichtenstein Jr,101 BALDWIN BLVD,,CORPUS CHRISTI,78404,NUECES,Licensed Center - Child Care Program,65,2/21/03,Full,Y,,,,,,,,,,
821234,3,Christine  Alvarado,2601 ROSEBUD LN,,VENUS,76084,JOHNSON,Registered Child-Care Home,12,12/12/02,Full,Y,,,,,,,,,,
821235,6,Hong Yen Thi Pham,13230 BROOKSIDE DR,,SUGAR LAND,77478,FORT BEND,Registered Child-Care Home,12,10/14/02,Full,N,,,,,,,,,,
821483,3,Ms Sues Christian Day Care School,1825 Clarendon W, ,Dallas,75208,DALLAS,Licensed Center - Child Care Program,108,3/31/03,Full,Y,,,,,,,,,,
821540,6,Beginnings & Beyond Klein,5258 LOUETTA RD,STE 190,SPRING,77379,HARRIS,Licensed Center - Child Care Program,100,3/7/03,Full,Y,,,,,,,,,,
821563,5,"Kids Harbor Learning Center, LP",6000 TERRELL ST,,GROVES,77619,JEFFERSON,Licensed Center - Child Care Program,355,3/30/03,Full,Y,,,,,,,,,,
821595,6,Crosby United Methodist Weekday School,1334 Runneburg RD,PO Box 1385 ,Crosby,77532,HARRIS,Licensed Center - Child Care Program,68,11/8/02,Full,Y,,,,,,,,,,
821598,3,Genesis Child Development Center,2517 DALROCK RD,,ROWLETT,75088,DALLAS,Licensed Center - Child Care Program,85,8/28/03,Full,Y,,,,,,,,,,
821619,4,New Generation Learning Center,14172 HWY 110,,WHITEHOUSE,75791,SMITH,Licensed Center - Child Care Program,204,10/10/02,Full,Y,,,,,,,,,,
821638,6,Brazoria County Head Start-Lake Jackson Campus,303 GARLAND DR,,LAKE JACKSON,77566,BRAZORIA,Licensed Center - Child Care Program,85,3/31/03,Full,Y,,,,,,,,,,
821858,6,St. Marks Episcopal School,3816 BELLAIRE BLVD,,HOUSTON,77025,HARRIS,Licensed Center - Child Care Program,34,1/29/03,Full,Y,,,,,,,,,,
821874,10,Irma Melendez,601 N ESTRELLA ST,,EL PASO,79903,EL PASO,Registered Child-Care Home,12,10/21/02,Full,Y,,,,,,,,,,
821906,6,Yi Tai Chi,919 ALEXANDRIA ST,,STAFFORD,77477,FORT BEND,Registered Child-Care Home,12,10/29/02,Full,Y,,,,,,,,,,
821968,3,American Care Academy,530 S R L THORNTON FWY,,DALLAS,75203,DALLAS,Licensed Center - Child Care Program,86,9/16/03,Full,Y,,,,,,,,,,
821995,6,God's Rainbow Christian Academy,13131 ALSTON RD,,SUGAR LAND,77478,FORT BEND,Licensed Center - Child Care Program,34,3/14/03,Full,Y,,,,,,,,,,
822121,11,Little One's Discovery Center II Inc.,909 S JACKSON RD,,PHARR,78577,HIDALGO,Licensed Center - Child Care Program,64,6/6/03,Full,Y,,,,,,,,,,
822143,6,IRMA  SALGADO,9818 RUSTIC ROCK RD,,LA PORTE,77571,HARRIS,Registered Child-Care Home,12,10/17/02,Full,Y,,,,,,,,,,
822227,3,KinderFrogs,2829 STADIUM DR,,FORT WORTH,76129,TARRANT,Licensed Center - Child Care Program,40,3/16/04,Full,Y,,,,,,,,,,
822281,5,Great Beginnings Pre-School & Childcare,2801 U S HIGHWAY 190 W,,LIVINGSTON,77351,POLK,Licensed Center - Child Care Program,250,4/23/03,Full,Y,,,,,,,,,,
822287,6,Friendswood Christian School,2051 W PARKWOOD AVE,,FRIENDSWOOD,77546,GALVESTON,Licensed Center - Child Care Program,105,4/2/03,Full,Y,,,,,,,,,,
822338,6,Ava Chase,15215 STONEYVIEW DR,,HOUSTON,77083,FORT BEND,Registered Child-Care Home,12,11/25/02,Full,Y,,,,,,,,,,
822346,3,Lighthouse Rescue Mission Church,402 E CHURCH ST,,GRAND PRAIRIE,75050,DALLAS,Licensed Center - Child Care Program,27,4/10/03,Full,Y,,,,,,,,,,
822392,3,Angela Steward,107 W MADISON ST,,ENNIS,75119,ELLIS,Registered Child-Care Home,12,2/20/03,Full,Y,,,,,,,,,,
822412-1086,7,Forbes Child Development Center Child Incorporated,2217 FORBES DR,,AUSTIN,78754,TRAVIS,Licensed Center - Child Care Program,200,4/14/03,Full,Y,,,,N,,,,,,
822558,6,Stephanie Smith,11907 HOPE LN,,MAGNOLIA,77354,MONTGOMERY,Registered Child-Care Home,12,10/15/02,Full,Y,,,,,,,,,,
822587,3,Primrose School of West Allen,106 TATUM DR,,ALLEN,75013,COLLIN,Licensed Center - Child Care Program,235,12/2/02,Full,Y,,,,,,,,,,
822602,7,All Austin Cooperative Nursery School,2301 HANCOCK DR,,AUSTIN,78756,TRAVIS,Licensed Center - Child Care Program,55,10/28/02,Full,N,,,,,,,,,,
822640,8,Simply Kids Learning Center,207 LOWE DR,,DEL RIO,78840,VAL VERDE,Licensed Center - Child Care Program,97,4/9/03,Full,Y,,,,,,,,,,
822676,8,Elba Nuno,6818 SPRING ROSE ST,,SAN ANTONIO,78249,BEXAR,Registered Child-Care Home,12,2/6/03,Full,Y,,,,,,,,,,
822682,3,Donna Zimmerer Licensed Child Care,1092 FM 1199,,GAINESVILLE,76240,COOKE,Licensed Child-Care Home,12,11/27/02,Full,Y,,,,,,,,,,
822717,11,Creative Kidz Day Care Center II,1201 Rio Rico Rd,491 South,Mercedes,78570,HIDALGO,Licensed Center - Child Care Program,73,7/9/03,Full,Y,,,,,,,,,,
822769,3,Good Hands Child Development Center,1050 W WINTERGREEN RD,,LANCASTER,75134,DALLAS,Licensed Center - Child Care Program,65,7/7/03,Full,Y,,,,,,,,,,
822775,3,April D Hibdon,18201 F M 2613,,KEMP,75143,KAUFMAN,Registered Child-Care Home,12,11/18/02,Full,Y,,,,,,,,,,
822866,9,Tammy Marie Williams,101 S EISENHOWER DR,,MIDLAND,79703,MIDLAND,Listed Family Home,3,11/1/02,Full,Y,,,,,,,,,,
822902,6,MINH THU TRAN,2207 PARK TALON DR,,HOUSTON,77067,HARRIS,Registered Child-Care Home,12,11/21/02,Full,Y,,,,,,,,,,
822949,6,Agape Christian Preschool & Child Care,1401 STRAWBERRY RD,,PASADENA,77502,HARRIS,Licensed Center - Child Care Program,139,2/18/03,Full,Y,,,,,,,,,,
822975,3,Canyon Creek Day School,6308 STONEWOOD DR,,PLANO,75024,COLLIN,Licensed Center - Child Care Program,189,11/27/02,Full,Y,,,,,,,,,,
823010,3,"Riding Rainbows Child Development Center, Inc.",1132 S BUCKNER BLVD,,DALLAS,75217,DALLAS,Licensed Center - Child Care Program,71,1/6/03,Full,Y,,,,,,,,,,
823028-2589,3,Diamond Road Head Start and Child Development Center,2526 DIAMOND RD,,FORT WORTH,76106,TARRANT,Licensed Center - Child Care Program,60,6/23/03,Full,Y,,,,,,,,,,
823034,7,Happy Faces Bilingual Child Care Center,1115 E SAINT JOHNS AVE,,AUSTIN,78752,TRAVIS,Licensed Center - Child Care Program,29,11/14/02,Full,Y,,,,,,,,,,
823040,3,Ronda Smith,1609 GLOUCHESTER DR,,GARLAND,75044,DALLAS,Registered Child-Care Home,12,2/3/03,Full,Y,,,,,,,,,,
823041,6,Brazoria County Head Start- Brazoria Campus,120 W PLEASANT ST,,BRAZORIA,77422,BRAZORIA,Licensed Center - Child Care Program,95,5/8/03,Full,Y,,,,,,,,,,
823073,6,Van Hong Thi Tran,14107 TALLOW POINT CT,,HOUSTON,77062,HARRIS,Registered Child-Care Home,12,1/23/03,Full,Y,,,,,,,,,,
823102,7,Rosies Day Care,7512 CAMERON RD,,AUSTIN,78752,TRAVIS,Licensed Center - Child Care Program,48,11/25/02,Full,Y,,,,,,,,,,
823209,3,JJs Child Care,516 CHEROKEE TRL,,KELLER,76248,TARRANT,Licensed Child-Care Home,12,3/10/03,Full,Y,,,,,,,,,,
823246,6,Demetra K. Bryant,210 KESTREL LN,,ROSHARON,77583,FORT BEND,Registered Child-Care Home,12,12/5/02,Full,Y,,,,,,,,,,
823303,6,KWOK-YING  WONG,15318 TRUSLOW POINT LN,,SUGAR LAND,77478,FORT BEND,Registered Child-Care Home,12,1/2/03,Full,Y,,,,,,,,,,
823326-5531,10,Bill Sybert After School,11530 EDGEMERE BLVD,,EL PASO,79936,EL PASO,Licensed Center - Before/After School Program,40,6/27/03,Full,N,,,,,,,,,,
823365,9,New Hope Christian School,118 CEDAR RD,,BIG SPRING,79720,HOWARD,Licensed Center - Child Care Program,175,5/13/03,Full,Y,,,,,,,,,,
823396,7,West Austin Youth Association  Developmental Mornings,1314 EXPOSITION BLVD,,AUSTIN,78703,TRAVIS,Licensed Center - Child Care Program,103,7/22/03,Full,Y,,,,,,,,,,
823414,6,Hoa Cindy Lai,7317 S GESSNER RD,,HOUSTON,77036,HARRIS,Registered Child-Care Home,12,2/10/03,Full,Y,,,,,,,,,,
823418,8,Trinity Preschool,5401 N LOOP 1604 E,,SAN ANTONIO,78247,BEXAR,Licensed Center - Child Care Program,198,11/27/02,Full,Y,,,,,,,,,,
823527,4,Kidz Depot Learning Academy,2420 N BORDER AVE,,TYLER,75702,SMITH,Licensed Center - Child Care Program,39,5/30/03,Full,Y,,,,,,,,,,
823551,3,"Cadence Academy, Allen",1224 E EXCHANGE PKWY,,ALLEN,75002,COLLIN,Licensed Center - Child Care Program,239,5/16/03,Full,Y,,,,,,,,,,
823560-5591,10,Pete Duarte Head Start,500 S DARRINGTON RD,,HORIZON CITY,79928,EL PASO,Licensed Center - Child Care Program,240,5/23/03,Full,N,,,,,,,,,,
823645,3,Brenda Henderson,16002 COUNTY ROAD 4065A,,SCURRY,75158,KAUFMAN,Registered Child-Care Home,12,2/10/03,Full,Y,,,,,,,,,,
823655,3,Karen Brinkley,2425 SHILOH LN,,MESQUITE,75181,DALLAS,Registered Child-Care Home,12,12/16/02,Full,Y,,,,,,,,,,
823671,3,Achievement Center of Texas,2950 N SHILOH RD,,GARLAND,75044,DALLAS,Licensed Center - Child Care Program,14,1/15/03,Full,Y,,,,,,,,,,
823752,3,Adrienne Sandidge,2924 WILD OAK LN,,ROCKWALL,75032,ROCKWALL,Registered Child-Care Home,12,12/30/02,Full,Y,,,,,,,,,,
823760,6,Unity Child Care,827 TURNEY DR,,HOUSTON,77038,HARRIS,Licensed Center - Child Care Program,49,12/11/02,Full,Y,,,,,,,,,,
823788,7,Brenda Jean Schrank,521 W BOYNTON ST,,HAMILTON,76531,HAMILTON,Registered Child-Care Home,12,12/12/02,Full,Y,,,,,,,,,,
823829,3,First United Methodist Weekday Program,3160 E SPRING CREEK PKWY,,PLANO,75074,COLLIN,Licensed Center - Child Care Program,210,5/12/03,Full,Y,,,,,,,,,,
823841,11,Roosevelt Head Start Center,3301 SIERRA VISTA BLVD,,LAREDO,78046,WEBB,Licensed Center - Child Care Program,34,6/3/03,Full,N,,,,,,,,,,
823880,11,Little Palominos Head Start Center,W END WASHINGTON LCC CAMPUS,,LAREDO,78040,WEBB,Licensed Center - Child Care Program,64,6/3/03,Full,N,,,,,,,,,,
823884-1427,7,YMCA-Nadine Johnson Elementary School,480 CARL STERN DR,,HUTTO,78634,WILLIAMSON,Licensed Center - School Age Program,115,5/20/03,Full,Y,,,,,,,,,,
823911,7,Kid Care,810 N MAIN,,MERIDIAN,76665,BOSQUE,Licensed Child-Care Home,12,12/12/02,Full,Y,,,,,,,,,,
823914,2,Lisa Kay Barnes,1828 DEAF SMITH ST,,VERNON,76384,WILBARGER,Registered Child-Care Home,12,12/31/02,Full,Y,,,,,,,,,,
823953,7,Talitha Koum Nurture Center,1311 CLAY AVE,,WACO,76706,MCLENNAN,Licensed Center - Child Care Program,30,6/26/03,Full,Y,,,,,,,,,,
824063,3,All About Kids,1441 FORT WORTH HWY,,WEATHERFORD,76086,PARKER,Licensed Center - Child Care Program,199,5/22/03,Full,Y,,,,,,,,,,
824112,3,Connect: KIDS Childcare Center,1971 JOHN ARDEN DR,,WAXAHACHIE,75165,ELLIS,Licensed Center - Child Care Program,100,7/24/03,Full,Y,,,,,,,,,,
824130,6,Cypresswood Montessori Inc,18323 KUYKENDAHL RD,,SPRING,77379,HARRIS,Licensed Center - Child Care Program,99,5/5/03,Full,Y,,,,,,,,,,
824292,8,UTSA Child Development Center,1 UTSA CIR,,SAN ANTONIO,78249,BEXAR,Licensed Center - Child Care Program,106,7/9/03,Full,Y,,,,,,,,,,
824396,6,Anh Thi Vu,13118 HILL CANYON LN,,HOUSTON,77072,HARRIS,Registered Child-Care Home,12,1/30/03,Full,Y,,,,,,,,,,
824411-2729,6,Coulson Tough Elementary YMCA,11660 CRANEBROOK DR,,THE WOODLANDS,77382,MONTGOMERY,Licensed Center - School Age Program,60,5/27/03,Full,N,,,,,,,,,,
824413,6,KIM CUC THI TRAN,4922 KEEGAN RUN DR,,HOUSTON,77084,HARRIS,Registered Child-Care Home,12,1/6/03,Full,Y,,,,,,,,,,
824429,6,Cheryl R Crawford,906 N KAUFMAN DR,,DEER PARK,77536,HARRIS,Registered Child-Care Home,12,2/24/03,Full,Y,,,,,,,,,,
824434,6,Spring Branch Head Start,9655 LONG POINT RD,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,218,7/8/03,Full,Y,,,,,,,,,,
824437-2729,6,Conroe Family YMCA - Stewart Creek ASP,18990 STEWART CREEK RD,,MONTGOMERY,77356,MONTGOMERY,Licensed Center - School Age Program,30,2/19/03,Full,N,,,,,,,,,,
824551,11,Wee Care Child Day Care,3204 S CAGE BLVD,,PHARR,78577,HIDALGO,Licensed Center - Child Care Program,24,8/22/03,Full,Y,,N,,Y,,,,,,
824556,6,Walden School,16103 LEXINGTON BLVD,STE A,SUGAR LAND,77479,FORT BEND,Licensed Center - Child Care Program,189,5/16/03,Full,Y,,,,,,,,,,
824584,6,The Karate School,7021 ATASCOCITA RD,,HUMBLE,77346,HARRIS,Licensed Center - School Age Program,99,2/13/03,Full,Y,,,,,,,,,,
824597,6,Scribbles Academy & The Montessori,940 S FRY RD,,KATY,77450,HARRIS,Licensed Center - Child Care Program,105,1/31/03,Full,N,,,,,,,,,,
824600,3,Compass Christian Preschool,2600 HALL JOHNSON RD,,COLLEYVILLE,76034,TARRANT,Licensed Center - Child Care Program,250,8/11/03,Full,Y,,,,,,,,,,
824677,6,Nguyen Phuong Thi Nguyen,9507 LERIN LN,,SUGAR LAND,77498,FORT BEND,Registered Child-Care Home,12,2/20/03,Full,Y,,,,,,,,,,
824789-2389,7,Ira Cross Jr Elementary,1910 HERNDON DR,,KILLEEN,76543,BELL,Licensed Center - Before/After School Program,102,1/29/03,Full,Y,,,,,,,,,,
824861,7,Parkview Christian Childcare and Preparatory Academy,1100 E LAKE SHORE DR,,WACO,76708,MCLENNAN,Licensed Center - Child Care Program,173,8/11/03,Full,Y,,,,,,,,,,
824875,8,"Children's Summit Learning Center, L.L.C",2250 BENRUS BLVD,,SAN ANTONIO,78228,BEXAR,Licensed Center - Child Care Program,63,8/29/03,Full,Y,,,,,,,,,,
824913,11,Kidsville Day Care,217 W CLEVELAND AVE,,HARLINGEN,78550,CAMERON,Licensed Child-Care Home,12,1/15/03,Full,Y,,,,,,,,,,
825219,3,Mona Montessori Academy,1417 ISMAILI CENTER CIR,,CARROLLTON,75006,DALLAS,Licensed Center - Child Care Program,184,7/3/03,Full,Y,,,,,,,,,,
825230,11,Spirit of Joy Christian Childcare Center,1155 W STENGER ST,,SAN BENITO,78586,CAMERON,Licensed Center - Child Care Program,71,2/14/03,Full,Y,,,,,,,,,,
825446,6,Waller ISD Childrens Center,20950 FIELDS STORE RD,,WALLER,77484,HARRIS,Licensed Center - Child Care Program,12,2/19/03,Full,Y,,,,,,,,,,
825490,5,Mitzie  Prowse,516 N 28TH ST,,NEDERLAND,77627,JEFFERSON,Registered Child-Care Home,12,3/30/03,Full,Y,,,,,,,,,,
825609,8,Brandi L. Wintermeier,3610 KIRBY DR,,SAN ANTONIO,78219,BEXAR,Registered Child-Care Home,12,5/21/03,Full,Y,,,,,,,,,,
825642,1,Donna Siebman,701 AVENUE E NW,,CHILDRESS,79201,CHILDRESS,Listed Family Home,3,10/21/03,Full,Y,,,,,,,,,,
825682,11,My Little University,103 E LANE ST,,LAREDO,78040,WEBB,Licensed Child-Care Home,12,9/11/03,Full,Y,,,,,,,,,,
825733,2,Monica Graf,2621 OAKLAWN DR,,VERNON,76384,WILBARGER,Registered Child-Care Home,12,2/21/03,Full,Y,,,,,,,,,,
825788,8,Elva Castillo,555 CARROLL ST,,SAN ANTONIO,78225,BEXAR,Listed Family Home,3,3/19/03,Full,Y,,,,,,,,,,
825846,3,Sonshine Ministries,10201 JERRY DUNN PKWY,,BENBROOK,76126,TARRANT,Licensed Center - Child Care Program,130,4/7/04,Full,Y,,,,,,,,,,
825868,6,Maria Granados,6350 GRANITE ST,,HOUSTON,77092,HARRIS,Registered Child-Care Home,12,3/31/03,Full,Y,,,,,,,,,,
825870,6,LUCIA  MENDEZ,12122 LUCKY MEADOW DR,,TOMBALL,77375,HARRIS,Registered Child-Care Home,12,4/24/03,Full,N,,,,,,,,,,
825894,3,Church of Incarnation,3966 MCKINNEY AVE,,DALLAS,75204,DALLAS,Licensed Center - Child Care Program,194,6/24/03,Full,Y,,,,,,,,,,
826016,3,Angela Lynn Hopkins,3712 SHADY VALLEY DR,,ARLINGTON,76013,TARRANT,Registered Child-Care Home,12,3/20/03,Full,Y,,,,,,,,,,
826041,7,Sonya Branch,16701 N HEATHERWILDE BLVD,APT 1211,PFLUGERVILLE,78660,TRAVIS,Registered Child-Care Home,12,4/16/03,Full,Y,,,,,,,,,,
826086-5531,10,Lujan Chavez After School,2200 SUN COUNTRY DR,,EL PASO,79938,EL PASO,Licensed Center - Before/After School Program,60,8/27/03,Full,N,,,,,,,,,,
826138,11,Sandra  Garza,503 EMERALD DR,,HARLINGEN,78550,CAMERON,Registered Child-Care Home,12,4/3/03,Full,N,,,,,,,,,,
826189,3,Covenant Presbyterian Preschool,322 W PECAN ST,,SHERMAN,75090,GRAYSON,Licensed Center - Child Care Program,60,5/15/03,Full,Y,,,,,,,,,,
826190,3,First Presbyterian KinderKraft Preschool,213 N BURNETT AVE,,DENISON,75020,GRAYSON,Licensed Center - Child Care Program,37,3/26/03,Full,Y,,,,,,,,,,
826191,3,Liberty Christian Child Care,364 LIBERTY HILL CIR,,SHERMAN,75090,GRAYSON,Licensed Center - Child Care Program,81,9/5/03,Full,Y,,,,,,,,,,
826219,6,Misha Shimek Home Daycare,16014 SPINNAKER DR,,CROSBY,77532,HARRIS,Licensed Child-Care Home,12,1/2/04,Full,Y,,,,,,,,,,
826241,3,First Baptist Day Care,207 E HIGHWAY 67,,ALVARADO,76009,JOHNSON,Licensed Center - Child Care Program,109,5/2/03,Full,Y,,,,,,,,,,
826284,6,DeHoa Thi Pham,1700 BEACON POINTE LN,,DICKINSON,77539,GALVESTON,Registered Child-Care Home,12,4/11/03,Full,N,,,,,,,,,,
826321,11,Little Lullabies Daycare,3701 ORCHID AVE,,MCALLEN,78504,HIDALGO,Licensed Child-Care Home,12,11/7/03,Full,Y,,,,,,,,,,
826434,7,Gina Faithe Butler,223 BUTLER LN,,BELTON,76513,BELL,Registered Child-Care Home,12,3/26/03,Full,N,,,,,,,,,,
826489,3,Waples Day School,830 W MAIN ST,,DENISON,75020,GRAYSON,Licensed Center - Child Care Program,50,4/7/03,Full,Y,,,,,,,,,,
826520,2,Delores Ann Witcher,1300 PHILLIPS DR,,BROWNWOOD,76801,BROWN,Listed Family Home,3,3/19/03,Full,Y,,,,,,,,,,
826601,3,Meadows Christian Learning Center,3001 LOS RIOS BLVD,,PLANO,75074,COLLIN,Licensed Center - Child Care Program,75,1/12/04,Full,Y,,,,,,,,,,
826603,11,Little Voices Day Care,1109 E LOVETT ST,,EDINBURG,78541,HIDALGO,Licensed Center - Child Care Program,67,8/13/03,Full,Y,,,,,,,,,,
826632,8,"Little Einsteins, L.L.C.",2797 S IH 35,,NEW BRAUNFELS,78130,COMAL,Licensed Center - Child Care Program,71,5/6/03,Full,Y,,,,,,,,,,
826638,6,CONSUELO PALMA,507 COWAN ST,,PASADENA,77506,HARRIS,Registered Child-Care Home,12,3/26/03,Full,Y,,,,,,,,,,
826672-845,4,New Boston Head Start,117 ROBERTSON RD,,NEW BOSTON,75570,BOWIE,Licensed Center - Child Care Program,34,3/24/03,Full,Y,,,,,,,,,,
826676,6,Westwood Montessori School,1822 SHERWOOD FOREST ST,,HOUSTON,77043,HARRIS,Licensed Center - Child Care Program,43,1/22/04,Full,Y,,,,,,,,,,
826734,6,Nuong Ngoc Nguyen,3222 BRAESVIEW DR,,PEARLAND,77584,BRAZORIA,Registered Child-Care Home,12,4/29/03,Full,Y,,,,,,,,,,
826736,6,Mai Thi Vu,11402 PINE KNOLL DR,,HOUSTON,77099,HARRIS,Registered Child-Care Home,12,4/11/03,Full,Y,,,,,,,,,,
826801,6,Cambridge Montessori School,6380 HIGHWAY 90A,,SUGAR LAND,77498,FORT BEND,Licensed Center - Child Care Program,200,8/29/03,Full,Y,,,,,,,,,,
826838,11,"Kids ""R"" Kids Learning Academy",709 S PLEASANTVIEW DR,,WESLACO,78596,HIDALGO,Licensed Center - Child Care Program,67,9/4/03,Full,Y,,,,,,,,,,
826929,7,First Step Learning Center,701 NORWOOD LN,,HEARNE,77859,ROBERTSON,Licensed Center - Child Care Program,100,10/1/03,Full,Y,,,,,,,,,,
826950,6,Holly Dueboay,6714 HAIDER AVE,,BAYTOWN,77521,CHAMBERS,Listed Family Home,3,6/10/03,Full,Y,,,,,,,,,,
827001,8,St Paul Lutheran Christian Day School,29797 US HIGHWAY 281 N,,BULVERDE,78163,COMAL,Licensed Center - Child Care Program,76,1/14/04,Full,Y,,,,,,,,,,
827012,1,Nazarene Kids Korner,1410 LAPLATA,,HEREFORD,79045,DEAFSMITH,Licensed Center - Child Care Program,75,4/20/04,Full,Y,,,,,,,,,,
827102,6,Kiddie Village Academy,11959 BISSONNET ST,,HOUSTON,77099,HARRIS,Licensed Center - Child Care Program,67,5/8/03,Full,Y,,,,,,,,,,
827107,3,Mary Mays,402 OLEANDER ST,,DUNCANVILLE,75137,DALLAS,Registered Child-Care Home,12,5/5/03,Full,Y,,,,,,,,,,
827180,6,New Covenant Christian Church Daycare,10603 BLACKHAWK BLVD,BLDG B,HOUSTON,77089,HARRIS,Licensed Center - Child Care Program,59,10/23/03,Full,Y,,,,,,,,,,
827195,6,Rainbow Edu-Care Center,121 ROBINSON RD,,CONROE,77385,MONTGOMERY,Licensed Center - Child Care Program,185,4/3/03,Full,Y,,,,,,,,,,
827197,8,Tracy Diane Kurtz,1819 COUNTY ROAD 350,,SHINER,77984,LAVACA,Registered Child-Care Home,12,5/31/03,Full,Y,,,,,,,,,,
827243,3,Pearlies Day Care,1505 QUARTET DR,,DALLAS,75241,DALLAS,Licensed Child-Care Home,12,11/5/03,Full,Y,,,,,,,,,,
827245,3,Christy McBride,4108 CLARY DR,,THE COLONY,75056,DENTON,Listed Family Home,3,4/15/03,Full,Y,,,,,,,,,,
827347,3,Salvation Army After School Activity,3023 NW 24TH ST,,FORT WORTH,76106,TARRANT,Licensed Center - School Age Program,127,4/15/04,Full,N,,,,,,,,,,
827348,4,Bettys Learning Center,21647 F M 2767,,WINONA,75792,SMITH,Licensed Child-Care Home,12,10/6/03,Full,Y,,,,,,,,,,
827375,3,The Happy Tree CDC,3225 BELMEADE DR,,CARROLLTON,75006,DALLAS,Licensed Center - Child Care Program,130,4/17/03,Full,Y,,,,,,,,,,
827379,8,Saras Child Care,611 W ASH ST,,EDNA,77957,JACKSON,Licensed Child-Care Home,12,11/25/03,Full,Y,,,,,,,,,,
827422,6,St. Marks Stepping Stones Dayschool,3811 N MAIN ST,,BAYTOWN,77521,HARRIS,Licensed Center - Child Care Program,108,4/23/03,Full,Y,,,,,,,,,,
827464,8,Wanda Marie Bedford,9026 PORTSIDE ST,,SAN ANTONIO,78242,BEXAR,Registered Child-Care Home,12,7/9/03,Full,Y,,,,,,,,,,
827487,3,Stepping Stones Early CDC Inc,8315 LAKE JUNE RD,,DALLAS,75217,DALLAS,Licensed Center - Child Care Program,42,7/9/04,Full,Y,,,,,,,,,,
827494,4,Trinity Extended Day,215 N TEAGUE ST,,LONGVIEW,75601,GREGG,Licensed Center - Child Care Program,132,10/28/03,Full,Y,,,,,,,,,,
827514-5531,10,Loma Verde After School,12150 TED HOUGHTON,,EL PASO,79936,EL PASO,Licensed Center - Before/After School Program,40,10/21/03,Full,N,,,,Y,,,,,,
827634,6,KIM-TRANG XUAN BUI,8314 GREEN CEDAR DR,,HOUSTON,77083,FORT BEND,Registered Child-Care Home,12,5/1/03,Full,Y,,,,,,,,,,
827657-2729,6,YMCA @ Elm Grove After School Program,2815 CLEAR RIDGE DR,,KINGWOOD,77339,HARRIS,Licensed Center - Before/After School Program,60,1/10/01,Full,Y,,,,,,,,,,
827692,1,Darcy Renae Neill,3300 BEACON RD,,AMARILLO,79118,RANDALL,Registered Child-Care Home,12,5/22/03,Full,Y,,,,,,,,,,
827746,3,Cadence Academy,723 BALL ST,,GRAPEVINE,76051,TARRANT,Licensed Center - Child Care Program,160,5/2/03,Full,Y,,,,,,,,,,
827774,2,Shonda Sue Taylor,2825 BROKEN BOUGH TRL,,ABILENE,79606,TAYLOR,Registered Child-Care Home,12,5/14/03,Full,Y,,,,,,,,,,
827842,3,Jennifer Kelley,618 COUNTRY LN,,GRAND PRAIRIE,75052,DALLAS,Registered Child-Care Home,12,5/27/03,Full,Y,,,,,,,,,,
827883-1387,6,Knowledge Learning Corporation DBA Champions at College Park,4315 LUELLA AVE,,DEER PARK,77536,HARRIS,Licensed Center - School Age Program,45,5/9/03,Full,Y,,,,,,,,,,
827904-1387,6,Knowledge Learning Corporation DBA Champions at Lomax Elem.,10615 N AVE L,,LA PORTE,77571,HARRIS,Licensed Center - School Age Program,85,5/9/03,Full,Y,,,,,,,,,,
827930,6,Ngot Thi Nguyen,9686 BLACKHAWK BLVD,,HOUSTON,77075,HARRIS,Registered Child-Care Home,12,5/9/03,Full,Y,,,,,,,,,,
827940,3,Mothers Heart Childcare Learning Center,1600 PATIO TER,,ARLINGTON,76010,TARRANT,Licensed Center - Child Care Program,102,12/4/03,Full,Y,,,,,,,,,,
828123-785,6,Knowledge Learning Corporation DBA Champions at Jeanie Reid,10001 W FAIRMONT PKWY,,LA PORTE,77571,HARRIS,Licensed Center - School Age Program,40,5/9/03,Full,Y,,,,,,,,,,
